MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId	Subtype
6604671000006111	30	^ESCTSA660467	NA	SARS-CoV infection	398447004	2536663014	32	COVID
12802181000006118	9000	EMISNQSU106	NA	Suspected 2019-nCoV (novel coronavirus) infection	12802181000006102	12802181000006118	27	COVID
12990531000006116	10000	^ESCT1299053	NA	Detection of 2019-nCoV (novel coronavirus) using polymerase chain reaction technique	1240511000000106	2807871000000116	33	COVID
12990741000006116	20000	^ESCT1299074	NA	2019-nCoV (novel coronavirus) detected	1240581000000104	2808081000000112	47	COVID
12991131000006119	9000	^ESCT1299113	NA	Disease caused by 2019-nCoV (novel coronavirus)	1240751000000100	2808881000000118	32	COVID
12991161000006111	30000	^ESCT1299116	NA	Suspected disease caused by 2019-nCoV (novel coronavirus)	1240761000000102	2809001000000110	27	COVID
13002281000006117	6e+05	^ESCT1300228	NA	COVID-19 confirmed by laboratory test	1300721000000109	2799591000000111	27	COVID
13002291000006119	10000	^ESCT1300229	NA	COVID-19 confirmed using clinical diagnostic criteria	1300731000000106	2799621000000114	27	COVID
13002301000006118	70	^ESCT1300230	NA	Probable COVID-19 confirmed using clinical diagnostic criteria	1300731000000106	2799651000000116	27	COVID
13002311000006115	500	^ESCT1300231	NA	COVID-19 confirmed clinically	1300731000000106	2799661000000118	27	COVID
13012231000006116	8000	^ESCT1301223	NA	Detection of SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) using polymerase chain reaction technique	1240511000000106	2826591000000112	33	COVID
13012301000006116	5000	^ESCT1301230	NA	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) detected	1240581000000104	2827041000000112	47	COVID
13012381000006113	600	^ESCT1301238	NA	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) vaccine not available	1240701000000101	2827161000000114	32	COVID
13012431000006117	20000	^ESCT1301243	NA	COVID-19	1240751000000100	2826511000000115	32	COVID
13012441000006110	6	^ESCT1301244	NA	COVID-19 caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2)	1240751000000100	2826541000000119	32	COVID
13012451000006112	2e+05	^ESCT1301245	NA	Suspected COVID-19	1240761000000102	2827381000000119	27	COVID
13012471000006119	100	^ESCT1301247	NA	Possible COVID-19	1240761000000102	2827531000000114	27	COVID
13032631000006111	1e+05	^ESCT1303263	NA	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) IgG detection result positive	1321541000000108	2828741000000110	33	COVID
