code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
1.05121E+14,Squamous cell carcinoma of vagina (disorder),SNOMED  CT codes,C2766,7287,CCU002_01 Cancer - Phenotypes - England primary care EHR: Cancer diagnosis,PH960,2138,CCU002_01 Cancer,"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1""}]"
1.07691E+14,Non-seminomatous germ cell neoplasm of testis (disorder),SNOMED  CT codes,C2766,7287,CCU002_01 Cancer - Phenotypes - England primary care EHR: Cancer diagnosis,PH960,2138,CCU002_01 Cancer,"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1""}]"
1.07771E+14,Primary malignant clear cell neoplasm of endometrium (disorder),SNOMED  CT codes,C2766,7287,CCU002_01 Cancer - Phenotypes - England primary care EHR: Cancer diagnosis,PH960,2138,CCU002_01 Cancer,"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1""}]"
1078881000119102,Primary adenocarcinoma of lower lobe of left lung (disorder),SNOMED  CT codes,C2766,7287,CCU002_01 Cancer - Phenotypes - England primary care EHR: Cancer diagnosis,PH960,2138,CCU002_01 Cancer,"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1""}]"
1078901000119100,Primary adenocarcinoma of upper lobe of left lung (disorder),SNOMED  CT codes,C2766,7287,CCU002_01 Cancer - Phenotypes - England primary care EHR: Cancer diagnosis,PH960,2138,CCU002_01 Cancer,"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1""}]"
1078961000119104,Primary adenocarcinoma of upper lobe of right lung (disorder),SNOMED  CT codes,C2766,7287,CCU002_01 Cancer - Phenotypes - England primary care EHR: Cancer diagnosis,PH960,2138,CCU002_01 Cancer,"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1""}]"
1080941000119109,Malignant melanoma of left choroid (disorder),SNOMED  CT codes,C2766,7287,CCU002_01 Cancer - Phenotypes - England primary care EHR: Cancer diagnosis,PH960,2138,CCU002_01 Cancer,"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1""}]"
1081551000119106,Recurrent primary malignant neoplasm of left female breast (disorder),SNOMED  CT codes,C2766,7287,CCU002_01 Cancer - Phenotypes - England primary care EHR: Cancer diagnosis,PH960,2138,CCU002_01 Cancer,"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1""}]"
1081561000119108,Recurrent primary malignant neoplasm of right female breast (disorder),SNOMED  CT codes,C2766,7287,CCU002_01 Cancer - Phenotypes - England primary care EHR: Cancer diagnosis,PH960,2138,CCU002_01 Cancer,"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1""}]"
1081781000119105,Primary seminoma of left testis (disorder),SNOMED  CT codes,C2766,7287,CCU002_01 Cancer - Phenotypes - England primary care EHR: Cancer diagnosis,PH960,2138,CCU002_01 Cancer,"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1""}]"
1082301000119109,Transitional cell carcinoma of right renal pelvis (disorder),SNOMED  CT codes,C2766,7287,CCU002_01 Cancer - Phenotypes - England primary care EHR: Cancer diagnosis,PH960,2138,CCU002_01 Cancer,"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1""}]"
1082311000119107,Transitional cell carcinoma of right ureter (disorder),SNOMED  CT codes,C2766,7287,CCU002_01 Cancer - Phenotypes - England primary care EHR: Cancer diagnosis,PH960,2138,CCU002_01 Cancer,"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1""}]"
1090081000000106,Secondary malignant neoplasm of paratracheal lymph nodes (disorder),SNOMED  CT codes,C2766,7287,CCU002_01 Cancer - Phenotypes - England primary care EHR: Cancer diagnosis,PH960,2138,CCU002_01 Cancer,"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1""}]"
1090091000000108,Secondary malignant neoplasm of internal mammary lymph nodes (disorder),SNOMED  CT codes,C2766,7287,CCU002_01 Cancer - Phenotypes - England primary care EHR: Cancer diagnosis,PH960,2138,CCU002_01 Cancer,"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1""}]"
1090101000000100,Secondary malignant neoplasm of supratrochlear lymph nodes (disorder),SNOMED  CT codes,C2766,7287,CCU002_01 Cancer - Phenotypes - England primary care EHR: Cancer diagnosis,PH960,2138,CCU002_01 Cancer,"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1""}]"
1090121000000109,Secondary malignant neoplasm of deep cervical lymph nodes (disorder),SNOMED  CT codes,C2766,7287,CCU002_01 Cancer - Phenotypes - England primary care EHR: Cancer diagnosis,PH960,2138,CCU002_01 Cancer,"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1""}]"
1090131000000106,Secondary malignant neoplasm of anterior cervical lymph nodes (disorder),SNOMED  CT codes,C2766,7287,CCU002_01 Cancer - Phenotypes - England primary care EHR: Cancer diagnosis,PH960,2138,CCU002_01 Cancer,"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1""}]"
1090141000000102,Secondary malignant neoplasm of superficial cervical lymph nodes (disorder),SNOMED  CT codes,C2766,7287,CCU002_01 Cancer - Phenotypes - England primary care EHR: Cancer diagnosis,PH960,2138,CCU002_01 Cancer,"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1""}]"
1090151000000104,Secondary malignant neoplasm of mastoid lymph nodes (disorder),SNOMED  CT codes,C2766,7287,CCU002_01 Cancer - Phenotypes - England primary care EHR: Cancer diagnosis,PH960,2138,CCU002_01 Cancer,"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1""}]"
1090161000000101,Secondary malignant neoplasm of diaphragmatic lymph nodes (disorder),SNOMED  CT codes,C2766,7287,CCU002_01 Cancer - Phenotypes - England primary care EHR: Cancer diagnosis,PH960,2138,CCU002_01 Cancer,"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1""}]"
1090171000000108,Secondary malignant neoplasm of sacral lymph nodes (disorder),SNOMED  CT codes,C2766,7287,CCU002_01 Cancer - Phenotypes - England primary care EHR: Cancer diagnosis,PH960,2138,CCU002_01 Cancer,"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1""}]"
1090181000000105,Secondary malignant neoplasm of inferior epigastric lymph nodes (disorder),SNOMED  CT codes,C2766,7287,CCU002_01 Cancer - Phenotypes - England primary care EHR: Cancer diagnosis,PH960,2138,CCU002_01 Cancer,"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1""}]"
1090191000000107,Secondary malignant neoplasm of coeliac lymph nodes (disorder),SNOMED  CT codes,C2766,7287,CCU002_01 Cancer - Phenotypes - England primary care EHR: Cancer diagnosis,PH960,2138,CCU002_01 Cancer,"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1""}]"
1090201000000109,Secondary malignant neoplasm of deep inguinal lymph nodes (disorder),SNOMED  CT codes,C2766,7287,CCU002_01 Cancer - Phenotypes - England primary care EHR: Cancer diagnosis,PH960,2138,CCU002_01 Cancer,"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1""}]"
1090221000000100,Secondary malignant neoplasm of internal iliac lymph nodes (disorder),SNOMED  CT codes,C2766,7287,CCU002_01 Cancer - Phenotypes - England primary care EHR: Cancer diagnosis,PH960,2138,CCU002_01 Cancer,"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1""}]"
1090241000000107,Angioimmunoblastic T-cell lymphoma with dysproteinaemia (disorder),SNOMED  CT codes,C2766,7287,CCU002_01 Cancer - Phenotypes - England primary care EHR: Cancer diagnosis,PH960,2138,CCU002_01 Cancer,"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1""}]"
1090251000000105,Malignant neoplasm of nose (disorder),SNOMED  CT codes,C2766,7287,CCU002_01 Cancer - Phenotypes - England primary care EHR: Cancer diagnosis,PH960,2138,CCU002_01 Cancer,"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1""}]"
1090261000000108,Malignant neoplasm of descended testis (disorder),SNOMED  CT codes,C2766,7287,CCU002_01 Cancer - Phenotypes - England primary care EHR: Cancer diagnosis,PH960,2138,CCU002_01 Cancer,"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1""}]"
1090271000000101,Malignant neoplasm of ventral surface of tongue (disorder),SNOMED  CT codes,C2766,7287,CCU002_01 Cancer - Phenotypes - England primary care EHR: Cancer diagnosis,PH960,2138,CCU002_01 Cancer,"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1""}]"
1090281000000104,Malignant neoplasm of genital labia (disorder),SNOMED  CT codes,C2766,7287,CCU002_01 Cancer - Phenotypes - England primary care EHR: Cancer diagnosis,PH960,2138,CCU002_01 Cancer,"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1""}]"
