medcodeid,term,snomedctconceptid,renal
10128851000006111,haemodialysis,18682911000001103,1
105227013,chronic pyelonephritis,63302006,1
106291000006118,thomas intravascular shunt for dialysis,302497006,1
114310015,lupus nephritis,68815009,1
117168016,renal transplant,70536003,1
118218017,peritoneal dialysis,71192002,1
11910651000006112,[v]kidney transplanted,399241000000100,1
12019461000006111,fluoroscopy guided removal of nephrostomy tube from transplanted kidney,764643003,1
12019471000006116,removal of nephrostomy tube from transplanted kidney using fluoroscopic guidance,764643003,1
12048101000006116,extracorporeal haemodialysis route,766790006,1
12048111000006118,extracorporeal hemodialysis route,766790006,1
1227722017,[v]aftercare involving renal dialysis nos,410511000000103,1
1227723010,[v]aftercare involving peritoneal dialysis,426351000000102,1
12456621000006114,[v]aftercare involving peritoneal dialysis,426351000000102,1
12456631000006112,[v]aftercare involving renal dialysis nos,410511000000103,1
12625871000006119,kt/v (clearance multiplied by time divided by volume) for haemodialysis,1110511000000102,1
127091000006118,steroid-sensitive nephrotic syndrome,236380004,1
12717101000006112,"nephritis, nephrosis and nephrotic syndrome",197577008,1
1550021000006110,os interventions associated with transplantation of kidney,711446003,1
1705621000000113,flushing of peritoneal dialysis catheter,238317004,1
1743241000006119,continuous ambulatory peritoneal dialysis associated peritonitis,699235009,1
176711000006111,"renal dialysis with complication, without blame",116223007,1
177251000006119,"renal transplant with complication, without blame",88797001,1
181021000006119,removal of ambulatory peritoneal dialysis catheter,180273006,1
1834361000006110,discussion about kidney transplantation,1834361000006106,1
1847541000006113,wilms' tumour and nephrotic syndrome with pseudohermaphroditism,236385009,1
1848741000006116,complication of peritoneal dialysis,33461007,1
1905531000006112,excision of rejected transplanted kidney,284348003,1
1940501000006119,ckd g4a1 - chronic kidney disease with glomerular filtration rate category g4 and albuminuria category a1,950181000000106,1
1940511000006116,ckd g4a2 - chronic kidney disease with glomerular filtration rate category g4 and albuminuria category a2,950211000000107,1
1940521000006112,ckd g4a3 - chronic kidney disease with glomerular filtration rate category g4 and albuminuria category a3,950231000000104,1
1940531000006110,ckd g5a1 - chronic kidney disease with glomerular filtration rate category g5 and albuminuria category a1,950251000000106,1
1940541000006117,ckd g5a2 - chronic kidney disease with glomerular filtration rate category g5 and albuminuria category a2,950291000000103,1
1940551000006115,ckd g5a3 - chronic kidney disease with glomerular filtration rate category g5 and albuminuria category a3,950311000000102,1
1940621000006111,ckd g3aa1 - chronic kidney disease with glomerular filtration rate category g3a and albuminuria category a1,949881000000106,1
1940631000006114,ckd g3aa2 - chronic kidney disease with glomerular filtration rate category g3a and albuminuria category a2,949901000000109,1
1940641000006116,ckd g3aa3 - chronic kidney disease with glomerular filtration rate category g3a and albuminuria category a3,949921000000100,1
1940651000006119,ckd g3ba1 - chronic kidney disease with glomerular filtration rate category g3b and albuminuria category a1,950061000000103,1
1940661000006117,ckd g3ba2 - chronic kidney disease with glomerular filtration rate category g3b and albuminuria category a2,950081000000107,1
1940671000006112,ckd g3ba3 - chronic kidney disease with glomerular filtration rate category g3b and albuminuria category a3,950101000000101,1
2189151000000117,urological complication of renal transplant,843691000000100,1
2191221000000118,vascular complication of renal transplant,844661000000109,1
2211311000000117,haemodialysis first use syndrome,236539007,1
2211591000000116,thrombus in peritoneal dialysis catheter,854131000000107,1
2211671000000119,anaphylactoid reaction due to haemodialysis,854161000000102,1
2221251000000115,discussion about kidney transplantation,858421000000106,1
228101000006113,placement ambulatory apparatus compensation renal failure,180272001,1
228121000006115,placement ambulatory apparatus- compensate renal failure os,271418008,1
228131000006117,placement ambulatory dialysis apparatus - compens renal fail,180272001,1
2509281000006118,peritoneal dialysis including cannulation,676002,1
251956015,h/o: kidney dialysis,161693006,1
251957012,h/o: renal dialysis,161693006,1
2550761000006119,empty and measure peritoneal dialysis fluid,3257008,1
261136015,peritoneal dialysis sample,168140004,1
2672571000006112,removal of peritoneal dialysis catheter,10848006,1
2674486017,extracorporeal albumin haemodialysis,427053002,1
2689941000006111,stabilising haemodialysis,11932001,1
2689951000006113,stabilizing hemodialysis,11932001,1
2692168016,automated peritoneal dialysis,428648006,1
272325018,cadaveric renal transplant,175902000,1
272326017,other specified transplantation of kidney,70536003,1
272327014,transplantation of kidney nos,70536003,1
272389014,exploration of renal transplant,175948009,1
2732451000006111,peritoneal dialysis excluding cannulation,14684005,1
2743241000000110,transplant of kidney using robotic assistance,1095231000000108,1
2751501000006118,chronic haemodialysis diet,15859004,1
2751511000006115,chronic hemodialysis diet,15859004,1
2767154014,chronic kidney disease stage 5,433146000,1
2767385013,chronic kidney disease stage 4,431857002,1
2773184015,chronic kidney disease stage 3,433144002,1
278832011,haemodialysis,302497006,1
278834012,other specified compensation for renal failure,265763003,1
278835013,compensation for renal failure nos,265764009,1
278844014,insertion of temporary peritoneal dialysis catheter,180277007,1
2832821000006115,cgn - chronic glomerulonephritis,20917003,1
284213011,renal transplant planned,183985008,1
2868901000006111,"anaesthesia for renal transplant, recipient",23137002,1
2868911000006114,"anesthesia for renal transplant, recipient",23137002,1
290737016,dependence on renal dialysis,105502003,1
2938561000006116,megaloblastic anaemia due to haemodialysis,27366005,1
2938571000006111,megaloblastic anemia due to hemodialysis,27366005,1
2963211000006116,hemodialysis training,28812006,1
2963221000006112,haemodialysis training,28812006,1
3025071000006111,haemodialysis-associated amyloidosis,32599008,1
3025081000006114,hemodialysis-associated amyloidosis,32599008,1
303806010,"nephritis, nephrosis and nephrotic syndrome",197577008,1
303825013,nephrotic syndrome with proliferative glomerulonephritis,197589005,1
303826014,nephrotic syndrome with membranous glomerulonephritis,197590001,1
303832016,"nephrotic syndrome, minor glomerular abnormality",197593004,1
303833014,"nephrotic syndrome, focal and segmental glomerular lesions",197594005,1
303834015,"nephrotic syndrome, diffuse membranous glomerulonephritis",197595006,1
303838017,"nephrotic syndrome, dense deposit disease",197599000,1
303839013,"nephrotic syndrome, diffuse crescentic glomerulonephritis",197600002,1
303843012,congenital nephrotic syndrome nos,48796009,1
303844018,nephrotic syndrome in diseases ec,197603000,1
303845017,nephrotic syndrome in amyloidosis,197604006,1
303846016,nephrotic syndrome in diabetes mellitus,197605007,1
303847013,kimmelstiel - wilson disease,197605007,1
303848015,nephrotic syndrome in malaria,197606008,1
303849011,nephrotic syndrome in polyarteritis nodosa,197607004,1
303853013,nephrotic syndrome associated with another disorder,197603000,1
303854019,nephrotic syndrome with other pathological kidney lesions,52254009,1
303855018,nephrotic syndrome nos,52254009,1
303863017,chronic rapidly progressive glomerulonephritis,236392004,1
303864011,other chronic glomerulonephritis,20917003,1
303867016,chronic focal glomerulonephritis,197618004,1
303868014,chronic diffuse glomerulonephritis,197619007,1
303869018,other chronic glomerulonephritis nos,20917003,1
303870017,chronic glomerulonephritis nos,20917003,1
304056012,"other specified nephritis, nephrosis or nephrotic syndrome",90708001,1
304058013,"nephritis, nephrosis and nephrotic syndrome nos",90708001,1
304060010,chronic pyelonephritis without medullary necrosis,197760006,1
304061014,chronic pyelonephritis with medullary necrosis,197761005,1
304062019,chronic pyelitis,197762003,1
304063012,chronic pyonephrosis,197763008,1
3040651000006117,complication of renal dialysis,33603003,1
304067013,chronic pyelonephritis nos,63302006,1
304071000000115,chronic kidney disease stage 3,433144002,1
304091000000116,chronic kidney disease stage 4,431857002,1
304111000000114,chronic kidney disease stage 5,433146000,1
3062151000006117,"haemodialysis, maintenance in hospital",34897002,1
3062161000006115,"hemodialysis, maintenance in hospital",34897002,1
3095561000006115,haemodialysis machine,36965003,1
3095571000006110,hemodialysis machine,36965003,1
3095581000006113,"hemodialysis machine, device",36965003,1
3135211000006116,removal of arteriovenous shunt for renal dialysis,39482009,1
3222371000006111,minimal change nephrotic syndrome,44785005,1
3222381000006114,idiopathic nephrotic syndrome,44785005,1
3222421000006116,mcns - minimal change nephrotic syndrome,44785005,1
324973015,kidney transplant failure and rejection,213150003,1
3289691000006118,familial nephrotic syndrome,48796009,1
329116017,failure of sterile precautions during kidney dialysis,216933008,1
3312881000006116,haemodialysis fluid,50182002,1
3312891000006118,hemodialysis fluid,50182002,1
3347091000006118,ns - nephrotic syndrome,52254009,1
3389671000006112,arteriovenous shunt for renal dialysis by external cannula,54817007,1
3389691000006113,formation of arteriovenous fistula by external cannula for renal dialysis,54817007,1
3430751000006117,initial haemodialysis,57274006,1
3430761000006115,initial hemodialysis,57274006,1
3455171000006118,disorder of transplanted kidney,58797008,1
3455181000006115,complication of transplanted kidney,58797008,1
3468081000006116,hemodialysis training at home,59596005,1
3468091000006118,haemodialysis training at home,59596005,1
349998013,haemofiltration,233581009,1
3503071000006115,"insertion of cannula for haemodialysis, vein to vein",61740001,1
3503081000006117,"insertion of cannula for hemodialysis, vein to vein",61740001,1
35171019,chronic glomerulonephritis,20917003,1
3517273018,haemodialysis care plan,736375002,1
3517274012,hemodialysis care plan,736375002,1
3524930011,hemodialysis needle gauge,736795005,1
3525029011,haemodialysis needle gauge,736795005,1
3525742018,infection related to hemodialysis catheter,736918003,1
3525743011,infection related to haemodialysis catheter,736918003,1
3525745016,insertion of hemodialysis catheter,736919006,1
3525746015,insertion of haemodialysis catheter,736919006,1
3525748019,infection related to tunneled hemodialysis catheter,736920000,1
3525751014,infection related to tunnelled haemodialysis catheter,736920000,1
3525758015,insertion of tunneled hemodialysis catheter,736922008,1
3525759011,insertion of tunnelled haemodialysis catheter,736922008,1
3526119012,infection related to temporary hemodialysis catheter,736984007,1
3526120018,infection related to temporary haemodialysis catheter,736984007,1
3526128013,mechanical complication of hemodialysis catheter,736987000,1
3526129017,mechanical complication of haemodialysis catheter,736987000,1
3527360016,transplanted kidney present,737295003,1
3529461000006113,cpn - chronic pyelonephritis,63302006,1
3531541000006113,insertion of cannula for haemodialysis,63421002,1
3531551000006110,insertion of cannula for hemodialysis,63421002,1
3531561000006112,insertion of haemodialysis shunt,63421002,1
3531571000006117,insertion of hemodialysis shunt,63421002,1
353974015,xenograft renal transplant,236138007,1
354330018,chronic obstructive pyelonephritis,236379002,1
354340015,congenital nephrotic syndrome with focal glomerulosclerosis,236384008,1
354341016,nephrotic syndrome with pseudohermaphroditism,236385009,1
354343018,drash syndrome,236385009,1
354399015,thin basement membrane disease,236418003,1
354610013,renal transplant rejection,236570004,1
354612017,accelerated rejection of renal transplant,236572007,1
354613010,very mild acute rejection of renal transplant,236573002,1
354615015,acute rejection of renal transplant,236574008,1
354616019,acute rejection of renal transplant - grade i,236575009,1
354617011,acute rejection of renal transplant - grade ii,236576005,1
354618018,acute rejection of renal transplant - grade iii,236577001,1
354619014,chronic rejection of renal transplant,236578006,1
354623018,chronic rejection of renal transplant - grade 1,236579003,1
354624012,chronic rejection of renal transplant - grade ii,236580000,1
354627017,chronic rejection of renal transplant - grade iii,236581001,1
354628010,acute-on-chronic rejection of renal transplant,236582008,1
357219012,continuous ambulatory peritoneal dialysis,238318009,1
3579811000006112,peritoneal dialysis training,66402002,1
3605671000006116,"haemodialysis, maintenance at home",67970008,1
3605681000006118,"hemodialysis, maintenance at home",67970008,1
3612021000006116,"haemodialysis, supervision at home",68341005,1
3612031000006118,"hemodialysis, supervision at home",68341005,1
3628271000006115,venous catheterisation for renal dialysis,69380006,1
3628281000006117,venous catheterization for renal dialysis,69380006,1
3647021000006114,transplant of kidney,70536003,1
3647031000006112,kidney transplantation,70536003,1
3647051000006117,tx - renal transplantation,70536003,1
3647061000006115,kidney transplant,70536003,1
3647071000006110,tx - kidney transplantation,70536003,1
3653831000006114,structure of transplanted kidney,70948008,1
3653841000006116,transplanted kidney,70948008,1
3657891000006116,pd - peritoneal dialysis,71192002,1
366671000000118,interventions associated with transplantation of kidney,711446003,1
3691341000006115,peritoneal dialysis catheter maintenance,73257006,1
375841000000114,peritoneal dialysis nec,71192002,1
3798181000006111,arteriovenous anastomosis for renal dialysis,79827002,1
3798191000006114,arteriovenostomy for renal dialysis,79827002,1
3798201000006112,formation of arteriovenous fistula for kidney dialysis,79827002,1
3798211000006110,arteriovenous shunt for renal dialysis,79827002,1
380061000000118,interventions associated with transplantation of kidney nos,711446003,1
380101000000116,examination of recipient after kidney transplant,428645009,1
3885861000006116,complication of haemodialysis,85223007,1
3885871000006111,complication of hemodialysis,85223007,1
394639018,compensation for renal failure,265763003,1
394640016,renal dialysis,265764009,1
396706011,nephrotic syndrome with minimal change glomerulonephritis,266549004,1
39884018,calculous pyelonephritis,23754003,1
413415016,unexplained episode of renal transplant dysfunction,277010001,1
4218231000006113,kidney transplant evaluation,113127005,1
422992018,excision of rejected transplanted kidney,284348003,1
441151000006115,"accidental cut, puncture, perforation or haemorrhage during kidney dialysis",216878005,1
441161000006118,"accid cut,puncture,perf,h'ge - kidney dialysis/oth perfusion",269691005,1
446291000006111,accidental cut/puncture/perf/haem'ge during renal dialysis,216878005,1
453312018,peritoneal dialysis-associated peritonitis,276883000,1
4542501000006119,history of renal transplant,161665007,1
4543021000006113,history of renal dialysis,161693006,1
460644012,history of renal transplant,161665007,1
4669451000006113,exploration of kidney transplant,175948009,1
4694051000006116,removal of chronic ambulatory peritoneal dialysis catheter,180273006,1
4788371000006112,cnf - finnish congenital nephrotic syndrome,197601003,1
4788421000006117,nephrotic syndrome due to diabetes mellitus,197605007,1
4788511000006114,chronic glomerulonephritis associated with another disorder,197616000,1
4789231000006111,non-obstructive reflux-associated chronic pyelonephritis,197764002,1
4898631000006119,"accidental cut, puncture, perforation or hemorrhage during kidney dialysis",216878005,1
4929621000006114,hemodialysis nurse,224566003,1
4937911000006117,putting additive into peritoneal dialysis bag,225228006,1
4937921000006113,peritoneal dialysis bag procedure,225229003,1
4937931000006111,chronic peritoneal dialysis,225230008,1
4937941000006118,pd - chronic peritoneal dialysis,225230008,1
4937951000006116,stab peritoneal dialysis,225231007,1
4937961000006119,pd - stab peritoneal dialysis,225231007,1
