code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
10692761000119107,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": """", ""Description"": ""Asthma-chronic obstructive pulmonary disease overlap syndrome"", ""Quality and Outcomes Framework Read Codes 2017/18"": ""Y"", ""Read v2 Code"": ""H3B..00""}]"
135836000,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": """", ""Description"": ""End stage chronic obstructive airways disease"", ""Quality and Outcomes Framework Read Codes 2017/18"": ""Y"", ""Read v2 Code"": ""H3A..00""}]"
13645005,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": """", ""Description"": ""[X]Other specified chronic obstructive pulmonary disease"", ""Quality and Outcomes Framework Read Codes 2017/18"": ""Y"", ""Read v2 Code"": ""Hyu3100""}]"
16003001,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": """", ""Description"": ""Giant bullous emphysema"", ""Quality and Outcomes Framework Read Codes 2017/18"": ""Y"", ""Read v2 Code"": ""H320200""}]"
170628003,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": ""Y"", ""Description"": ""Airways obstructn irreversible"", ""Quality and Outcomes Framework Read Codes 2017/18"": """", ""Read v2 Code"": ""663K.00""}]"
1823851000006103,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": """", ""Description"": ""Chronic obstructive pulmonary disease confirmed"", ""Quality and Outcomes Framework Read Codes 2017/18"": """", ""Read v2 Code"": """"}]"
185086009,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": ""Y"", ""Description"": ""Emphysematous bronchitis"", ""Quality and Outcomes Framework Read Codes 2017/18"": ""Y"", ""Read v2 Code"": ""H312100""}]"
195949008,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": """", ""Description"": ""Chronic asthmatic bronchitis"", ""Quality and Outcomes Framework Read Codes 2017/18"": ""Y"", ""Read v2 Code"": ""H312000""}]"
195951007,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": """", ""Description"": ""Acute exacerbation of chronic obstructive airways disease"", ""Quality and Outcomes Framework Read Codes 2017/18"": """", ""Read v2 Code"": ""H312200""}]"
195953005,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": """", ""Description"": ""Mixed simple and mucopurulent chronic bronchitis"", ""Quality and Outcomes Framework Read Codes 2017/18"": ""Y"", ""Read v2 Code"": ""H313.00""}]"
195957006,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": ""Y"", ""Description"": ""Chronic bullous emphysema"", ""Quality and Outcomes Framework Read Codes 2017/18"": ""Y"", ""Read v2 Code"": ""H320.00""}]"
195958001,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": """", ""Description"": ""Segmental bullous emphysema"", ""Quality and Outcomes Framework Read Codes 2017/18"": ""Y"", ""Read v2 Code"": ""H320000""}]"
195959009,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": """", ""Description"": ""Zonal bullous emphysema"", ""Quality and Outcomes Framework Read Codes 2017/18"": ""Y"", ""Read v2 Code"": ""H320100""}]"
195963002,,SNOMED  CT codes,C728,2595,COPD - Primary care,PH11,22,COPD,"[{""Validated Read Codes                                   Quint et al. 2014"": """", ""Description"": ""Acute vesicular emphysema"", ""Quality and Outcomes Framework Read Codes 2017/18"": ""Y"", ""Read v2 Code"": ""H32y000""}]"
