medcodeid,term,cleansedreadcode,snomedctconceptid,_qofcode,smi
4082931000006110,schizophrenic reaction,,102940002,0,1
4119081000006111,schizophrenic relative,,105453004,0,1
8434671000006112,schizophrenia tom (therapy outcome measure) activity score,,1062101000000104,0,1
8434681000006110,schizophrenia tom (therapy outcome measure) carer wellbeing score,,1062111000000102,0,1
8434701000006113,schizophrenia tom (therapy outcome measure) impairment score,,1062121000000108,0,1
8434711000006111,schizophrenia tom (therapy outcome measure) participation score,,1062131000000105,0,1
8434721000006115,schizophrenia tom (therapy outcome measure) wellbeing score,,1062141000000101,0,1
9326201000006116,psychosis in pregnancy,,10760461000119107,0,1
8464961000006115,"recurrent reactive depressive episodes, severe, with psychosis",,1086471000000103,1,1
424681000006118,"recurrent reactive depressive episodes, severe, with psychosis",Eu33316,1086471000000103,1,1
2724221000000116,late onset substance-induced psychosis,,1087461000000107,0,1
2724261000000112,late onset cocaine-induced psychosis,,1087481000000103,0,1
2724281000000115,late onset lsd (lysergic acid diethylamide)-induced psychosis,,1087491000000101,0,1
2672971000006116,"severe bipolar i disorder, most recent episode mixed, with psychotic features, mood-incongruent",,10875004,0,1
2672961000006111,"severe mixed bipolar i disorder with psychotic features, mood-incongruent",,10875004,0,1
2724301000000119,late onset cannabinoid-induced psychosis,,1087501000000107,0,1
2724321000000111,late onset amphetamine-induced psychosis,,1087511000000109,0,1
2729691000000119,cataleptic schizophrenia,,1089481000000106,0,1
2674681000006116,"severe bipolar i disorder, most recent episode mixed, with psychotic features",,10981006,0,1
2674671000006119,severe mixed bipolar i disorder with psychotic features,,10981006,0,1
294730012,acute exacerbation of subchronic schizophrenia,E100300,111482003,0,1
4196151000006111,subchronic schizophrenia with acute exacerbations,,111482003,0,1
4196171000006118,"schizophrenia, catatonic, in remission",,111483008,1,1
178723016,catatonic schizophrenia in remission,E102500,111483008,1,1
371031000006115,[x]chronic undifferentiated schizophrenia,Eu20511,111484002,1,1
1219653018,atypical schizophrenia,E10y000,111484002,1,1
366571000006114,[x]atypical schizophrenia,Eu20311,111484002,1,1
296031017,undifferentiated schizophrenia,Eu20300,111484002,1,1
4196211000006116,"bipolar i disorder, most recent episode mixed, in full remission",,111485001,0,1
4196201000006119,mixed bipolar i disorder in full remission,,111485001,0,1
12736721000006110,fep - first episode psychosis,,1127191000000108,0,1
2517511000006119,"chronic bipolar ii disorder, most recent episode major depressive",,1196001,0,1
2705561000006112,chronic disorganised schizophrenia,,12939007,0,1
294737010,chronic hebephrenic schizophrenia,E101200,12939007,0,1
2705571000006117,chronic disorganized schizophrenia,,12939007,0,1
2705961000006118,"severe bipolar ii disorder, most recent episode major depressive, in full remission",,12969000,0,1
2708271000006111,factitious psychosis,,13127006,0,1
8041781000006111,rapid cycling bipolar i disorder,,133091000119105,0,1
294882016,mild bipolar disorder,E117100,13313007,1,1
2715201000006111,"severe bipolar i disorder, single manic episode with psychotic features, mood-congruent",,13581000,0,1
2717981000006118,mdi - manic-depressive illness,,13746004,1,1
367101000006112,bipolar affective disorder,Eu31.00,13746004,1,1
396791000006116,manic-depressive illness,Eu31.11,13746004,1,1
396801000006115,manic-depressive psychosis,Eu31.12,13746004,1,1
401865016,[x]other bipolar affective disorders,Eu31y00,13746004,1,1
294881011,"unspecified bipolar affective disorder, unspecified",E117000,13746004,1,1
296135011,"[x]bipolar affective disorder, unspecified",Eu31z00,13746004,1,1
294892012,unspecified manic-depressive psychoses,E11y000,13746004,1,1
294896010,other and unspecified manic-depressive psychoses nos,E11yz00,13746004,1,1
294891017,other and unspecified manic-depressive psychoses,E11y.00,13746004,1,1
396071000006119,[x]manic-depressive reaction,Eu31.13,13746004,1,1
294880012,unspecified bipolar affective disorder,E117.00,13746004,1,1
513871000006118,bipolar disorder,E11..11,13746004,1,1
882311000006110,manic-depressive psychoses,E11..99,13746004,1,1
294888017,"unspecified bipolar affective disorder, nos",E117z00,13746004,1,1
2724061000006113,erotomanic delusion disorder,,14144000,0,1
2726261000006113,subchronic disorganised schizophrenia with acute exacerbations,,14291003,0,1
294738017,acute exacerbation of subchronic hebephrenic schizophrenia,E101300,14291003,0,1
2726271000006118,subchronic disorganized schizophrenia with acute exacerbations,,14291003,0,1
2729641000006117,"severe bipolar i disorder, single manic episode without psychotic features",,14495005,0,1
2522281000006115,"bipolar i disorder, single manic episode with postpartum onset",,1499003,0,1
460273017,[v]personal history of schizophrenia,ZV11000,161464003,0,1
251628010,h/o: schizophrenia,1464.00,161468000,0,1
4539931000006112,history of schizophrenia,,161468000,0,1
2501011000006119,"severe bipolar i disorder, most recent episode manic, without psychotic features",,162004,1,1
513691000006116,severe manic bipolar i disorder without psychotic features,E114300,162004,1,1
2758341000006117,"bipolar ii disorder, most recent episode major depressive",,16295005,0,1
294895014,mixed bipolar i disorder,E11y300,16506000,0,1
2761681000006119,"bipolar i disorder, most recent episode mixed",,16506000,0,1
28758018,subchronic schizophrenia,E100100,16990005,1,1
2782051000006112,"bipolar i disorder, most recent episode manic with catatonic features",,17782008,0,1
294714016,postpartum psychosis,E03y300,18260003,0,1
223611000000117,non-organic psychosis,E13z.00,191525009,1,1
25461000006115,other nonorganic psychoses,E13..00,191525009,1,1
294724012,non-organic psychoses,E1...00,191525009,1,1
294949018,other specified non-organic psychoses,E1y..00,191525009,1,1
401862018,[x]unspecified nonorganic psychosis,Eu2z.00,191525009,1,1
401771016,non-organic psychosis nos,E1z..00,191525009,1,1
882281000006113,schizophrenic psychoses nos,E10..98,191526005,1,1
294725013,schizophrenic disorders,E10..00,191526005,1,1
882291000006111,schizophrenic psychoses,E10..99,191526005,1,1
294727017,simple schizophrenia,E100.00,191527001,1,1
294726014,schizophrenia simplex,E100.11,191527001,1,1
426881000006111,[x]simple schizophrenia,Eu20600,191527001,1,1
294734015,simple schizophrenia nos,E100z00,191527001,1,1
12482001000006117,acute exacerbation of subchronic schizophrenia,,191530008,1,1
294731011,acute exacerbation of chronic schizophrenia,E100400,191531007,1,1
4763631000006114,acute exacerbation of subchronic disorganized schizophrenia,,191538001,1,1
12481991000006119,acute exacerbation of subchronic hebephrenic schizophrenia,,191538001,1,1
4763611000006115,acute exacerbation of subchronic disorganised schizophrenia,,191538001,1,1
294739013,acute exacerbation of chronic hebephrenic schizophrenia,E101400,191539009,1,1
4763661000006117,acute exacerbation of chronic disorganized schizophrenia,,191539009,1,1
4763641000006116,acute exacerbation of chronic disorganised schizophrenia,,191539009,1,1
370451000006110,[x]catatonic schizophrenia,Eu20200,191542003,1,1
294753013,catatonic schizophrenia nos,E102z00,191542003,1,1
425651000006113,[x]schizophrenic catatonia,Eu20213,191542003,1,1
4763701000006113,schizophrenic flexibilatis cerea,,191542003,1,1
294742019,catatonic schizophrenia,E102.00,191542003,1,1
4763691000006113,"schizophrenia, catatonic",,191542003,1,1
294744018,unspecified catatonic schizophrenia,E102000,191542003,1,1
425641000006111,[x]schizophrenic catalepsy,Eu20212,191542003,1,1
294743012,[x]schizophrenic flexibilatis cerea,Eu20214,191542003,1,1
4763731000006117,subchronic catatonic schizophrenia with acute exacerbation,,191547009,1,1
294750011,acute exacerbation of subchronic catatonic schizophrenia,E102300,191547009,1,1
4763751000006112,chronic catatonic schizophrenia with acute exacerbation,,191548004,1,1
294751010,acute exacerbation of chronic catatonic schizophrenia,E102400,191548004,1,1
294757014,acute exacerbation of subchronic paranoid schizophrenia,E103300,191554003,1,1
4763771000006119,subchronic paranoid schizophrenia with acute exacerbation,,191554003,1,1
294758016,acute exacerbation of chronic paranoid schizophrenia,E103400,191555002,1,1
4763791000006118,chronic paranoid schizophrenia with acute exacerbation,,191555002,1,1
395031000006114,[x]latent schizophrenic reaction,Eu21.11,191559008,1,1
395021000006111,[x]latent schizophrenia,Eu21.13,191559008,1,1
294771018,latent schizophrenia nos,E105z00,191559008,1,1
294764011,latent schizophrenia,E105.00,191559008,1,1
294765012,unspecified latent schizophrenia,E105000,191559008,1,1
294766013,subchronic latent schizophrenia,E105100,191561004,1,1
294767016,chronic latent schizophrenia,E105200,191562006,1,1
294768014,acute exacerbation of subchronic latent schizophrenia,E105300,191563001,1,1
294769018,acute exacerbation of chronic latent schizophrenia,E105400,191564007,1,1
4763861000006116,"latent schizophrenia, in remission",,191565008,1,1
294770017,latent schizophrenia in remission,E105500,191565008,1,1
882301000006112,acute schizo affective psychosis,E107.99,191567000,1,1
155161000006117,schizo-affective schizophrenia nos,E107z00,191567000,1,1
78531000006116,unspecified schizo-affective schizophrenia,E107000,191567000,1,1
155141000006116,schizoaffective schizophrenia,E107.00,191567000,1,1
294773015,cyclic schizophrenia,E107.11,191567000,1,1
123611000006110,subchronic schizo-affective schizophrenia,E107100,191569002,1,1
4763891000006112,subchronic schizoaffective schizophrenia,,191569002,1,1
556631000006116,chronic schizoaffective schizophrenia,E107200,191570001,1,1
456801000006115,acute exacerbation subchronic schizo-affective schizophrenia,E107300,191571002,1,1
4763911000006114,acute exacerbation of subchronic schizoaffective schizophrenia,,191571002,1,1
456731000006115,acute exacerbation of chronic schizo-affective schizophrenia,E107400,191572009,1,1
4763921000006118,acute exacerbation of chronic schizoaffective schizophrenia,,191572009,1,1
4763951000006110,"schizophrenia, schizoaffective, in remission",,191574005,1,1
4763941000006113,"schizoaffective schizophrenia, in remission",,191574005,1,1
155151000006119,schizoaffective schizophrenia in remission,E107500,191574005,1,1
294788013,cenesthopathic schizophrenia,E10y.11,191577003,1,1
294787015,coenesthopathic schizophrenia,E10y100,191577003,1,1
294803011,"single manic episode, mild",E110100,191583000,1,1
294804017,"single manic episode, moderate",E110200,191584006,1,1
294806015,"single manic episode, severe, with psychosis",E110400,191586008,1,1
294808019,single manic episode in full remission,E110600,191588009,1,1
294810017,recurrent manic episodes,E111.00,191590005,1,1
294811018,"recurrent manic episodes, unspecified",E111000,191590005,1,1
424661000006111,[x]recurrent manic episodes,Eu31y12,191590005,1,1
294818012,recurrent manic episode nos,E111z00,191590005,1,1
294812013,"recurrent manic episodes, mild",E111100,191592002,1,1
294813015,"recurrent manic episodes, moderate",E111200,191593007,1,1
294815010,"recurrent manic episodes, severe, with psychosis",E111400,191595000,1,1
294817019,"recurrent manic episodes, in full remission",E111600,191597008,1,1
294828015,"single major depressive episode, severe, with psychosis",E112400,191604000,1,1
294840015,"recurrent major depressive episodes, severe, with psychosis",E113400,191613003,1,1
11921141000006115,[x]recurrent severe episodes/reactive depressive psychosis,,191613003,1,1
294848010,"bipolar affective disorder, currently manic, unspecified",E114000,191618007,1,1
367081000006116,[x]bipolar affect disorder cur epi manic wout psychotic symp,Eu31100,191618007,1,1
513801000006112,"bipolar affective disorder, current episode manic",E114.00,191618007,1,1
294847017,manic-depressive - now manic,E114.11,191618007,1,1
294858014,"bipolar affective disorder, currently manic, nos",E114z00,191618007,1,1
294849019,"bipolar affective disorder, currently manic, mild",E114100,191620005,1,1
294850019,"bipolar affective disorder, currently manic, moderate",E114200,191621009,1,1
513701000006116,"bipolar affect disord, currently manic,severe with psychosis",E114400,191623007,1,1
367071000006119,"bipolar affective disorder, currently manic, severe, with psychosis",Eu31200,191623007,1,1
513811000006110,"bipolar affective disorder, currently manic, in full remission",E114600,191625000,1,1
294868016,"bipolar affective disorder, currently depressed, nos",E115z00,191627008,1,1
513751000006117,"bipolar affective disorder, current episode depression",E115.00,191627008,1,1
294860011,manic-depressive - now depressed,E115.11,191627008,1,1
294861010,"bipolar affective disorder, currently depressed, unspecified",E115000,191627008,1,1
294862015,"bipolar affective disorder, currently depressed, mild",E115100,191629006,1,1
367091000006118,[x]bipolar affect disorder cur epi mild or moderate depressn,Eu31300,191630001,1,1
294863013,"bipolar affective disorder, currently depressed, moderate",E115200,191630001,1,1
12463361000006113,"bipolar affective disorder, currently depressed, severe, with psychosis",,191632009,1,1
513861000006113,"bipolar affective disorder, currently depressed, in full remission",E115600,191634005,1,1
294869012,mixed bipolar affective disorder,E116.00,191636007,1,1
294870013,"mixed bipolar affective disorder, unspecified",E116000,191636007,1,1
294877011,"mixed bipolar affective disorder, nos",E116z00,191636007,1,1
294871012,"mixed bipolar affective disorder, mild",E116100,191638008,1,1
294872017,"mixed bipolar affective disorder, moderate",E116200,191639000,1,1
294874016,"mixed bipolar affective disorder, severe, with psychosis",E116400,191641004,1,1
294876019,"mixed bipolar affective disorder, in full remission",E116600,191643001,1,1
294893019,atypical manic disorder,E11y100,191658009,1,1
4764391000006115,paranoia,,191667009,1,1
294913019,paranoid psychosis,E12z.00,191667009,1,1
294912012,other paranoid states nos,E12yz00,191667009,1,1
882331000006116,paranoia,E12..99,191667009,1,1
294910016,other paranoid states,E12y.00,191667009,1,1
215851000000112,[x]paranoid psychosis,Eu22011,191667009,1,1
418231000006115,[x]paranoid state,Eu22012,191667009,1,1
294904016,simple paranoid state,E120.00,191668004,1,1
294911017,paranoia querulans,E12y000,191672000,1,1
294917018,reactive depressive psychosis,E130.00,191676002,1,1
426981000006116,[x]single episode of reactive depressive psychosis,Eu32314,191676002,1,1
