medcodeid,originalreadcode,cleansedreadcode,snomedctconceptid,snomedctdescriptionid,term,smoking_status
1009271000006118,ASDFGNO1,,1009271000006102,1009271000006118,Non Smoker - Nos,Never smoker
7965041000006111,^ESCTNE796504,,221000119102,2916218010,Never smoked any substance,Never smoker
5495921000006119,^ESCTNE549592,,266919005,397731016,Never smoked,Never smoker
397732011,1371,1371.00,266919005,397732011,Never smoked tobacco,Never smoker
1123751000000113,9kn,9kn..00,505681000000109,1154431000000112,Non-smoker annual review - enhanced services administration,Never smoker
1154431000000112,9kn-1,9kn..11,505681000000109,1154431000000112,Non-smoker annual review,Never smoker
7569061000006118,^ESCTNE756906,,702979003,3006734013,Never used tobacco,Never smoker
14866014,1371-1,1371.11,8392000,14866014,Non-smoker,Never smoker
854951000006113,EGTONGR10,,854951000006109,854951000006113,Grade A non-smoker,Never smoker
2735181000000113,^ESCT1172035,,1092031000000108,2735181000000113,Ex-smoker amount unknown,Ex-smoker
2735201000000112,^ESCT1172036,,1092041000000104,2735201000000112,Ex-very heavy smoker (40+/day),Ex-smoker
2735281000000119,^ESCT1172039,,1092071000000105,2735281000000119,Ex-heavy smoker (20-39/day),Ex-smoker
2735331000000112,^ESCT1172042,,1092091000000109,2735331000000112,Ex-moderate smoker (10-19/day),Ex-smoker
2735381000000111,^ESCT1172045,,1092111000000104,2735381000000111,Ex-light smoker (1-9/day),Ex-smoker
2735421000000119,^ESCT1172048,,1092131000000107,2735421000000119,Ex-trivial smoker (<1/day),Ex-smoker
7967851000006114,^ESCTAG796785,,1221000175102,3027295012,Age at smoking cessation,Ex-smoker
137761000006114,EGTONSM4,,137761000006105,137761000006114,Smoking Age Ceased,Ex-smoker
250373019,137K,137K.00,160617001,250373019,Stopped smoking,Ex-smoker
250374013,137L,137L.00,160618006,250374013,Current non-smoker,Ex-smoker
903051000006112,137L-99,137L.99,160618006,903051000006112,Tobacco Consumption Nil,Ex-smoker
649831000006117,137N,137N.00,160620009,250376010,Ex-pipe smoker,Ex-smoker
649821000006115,137O,137O.00,160621008,250377018,Ex-cigar smoker,Ex-smoker
250385010,137T,137T.00,160625004,250385010,Date ceased smoking,Ex-smoker
1626121000006116,EMISNQSM6,,1626121000006100,1626121000006116,Smoking cessation drug therapy - varenicline,Ex-smoker
295259018,E2513,E251300,191889006,295259018,Tobacco dependence in remission,Ex-smoker
1974281000006116,EMISICD10|F1720,,1974281000006100,1974281000006116,"Mental and behav dis due to use tobacco: dependence syndr, currently abstinent",Ex-smoker
1974311000006119,EMISICD10|F1721,,1974311000006103,1974311000006119,"Mental and behav dis due to use tobacco: dependence syndr, currently abstinent, but in a protected environment",Ex-smoker
1974371000006111,EMISICD10|F1723,,1974371000006107,1974371000006111,"Mental and behav dis due to use tobacco: dependence syndr, currently abstinent, but receiving treatment with aversive or blocking drugs",Ex-smoker
1974501000006110,EMISICD10|F1730,,1974501000006106,1974501000006110,"Mental and behav dis due to use tobacco: withdrawal state, uncomplicated",Ex-smoker
1974531000006119,EMISICD10|F1731,,1974531000006103,1974531000006119,"Mental and behav dis due to use tobacco: withdrawal state, with convulsions",Ex-smoker
1974571000006116,EMISICD10|F1740,,1974571000006100,1974571000006116,"Mental & behav dis due to tobacco: withdrawl state wth delirium, without convulsions",Ex-smoker
8061901000006111,^ESCTAT806190,,201931000000109,307601000000110,Attends practice smoking cessation clinic,Ex-smoker
1771191000006119,EMISNQAT12,,201941000000100,307621000000118,Attends smoking cessation clinic not at practice,Ex-smoker
4980561000006117,^ESCTTI498056,,228486009,342573017,Time since stopped smoking,Ex-smoker
250363016,1377,1377.00,266921000,397736014,Ex-trivial cigarette smoker (<1/day),Ex-smoker
250364010,1378,1378.00,266922007,397737017,Ex-light cigarette smoker (1-9/day),Ex-smoker
250365011,1379,1379.00,266923002,397738010,Ex-moderate cigarette smoker (10-19/day),Ex-smoker
250366012,137A,137A.00,266924008,397739019,Ex-heavy cigarette smoker (20-39/day),Ex-smoker
250367015,137B,137B.00,266925009,397740017,Ex-very heavy cigarette smoker (40+/day),Ex-smoker
5496031000006112,^ESCTEX549603,,266928006,397744014,Ex-cigarette smoker amount unknown,Ex-smoker
903041000006110,137F-99,137F.99,266928006,903041000006110,EX-Smoker NOS,Ex-smoker
418914010,137j,137j.00,281018007,418914010,Ex-cigarette smoker,Ex-smoker
6217151000006116,^ESCTIN621715,,360890004,476933013,Intolerant ex-smoker,Ex-smoker
6217281000006116,^ESCTAG621728,,360900008,476947012,Aggressive ex-smoker,Ex-smoker
37311000006117,EMISHGT222,,37311000006101,37311000006117,Other anti-smoking drug given,Ex-smoker
6427931000006116,^ESCTSM642793,,384742004,1479064018,Smoking cessation assistance,Ex-smoker
11793611000006110,^ESCT1179361,,384742004,3513200015,Smoking cessation behaviour support,Ex-smoker
1488873010,13p4,13p4.00,395177003,1488873010,Smoking free weeks,Ex-smoker
6718071000006115,^ESCTCU671807,,405746006,2157522017,Current non smoker but past smoking history unknown,Ex-smoker
