medcodeid,observations,originalreadcode,cleansedreadcode,snomedctconceptid,snomedctdescriptionid,term,original,observations_2024_06,originalreadcode_2024_06,cleansedreadcode_2024_06,snomedctconceptid_2024_06,snomedctdescriptionid_2024_06,term_2024_06,codestatus_2024_06,anxiety_2024_06,JKQ_2024_06,jkq
"2618361000000113",1328,"8T23","","1037451000000103","2618361000000113","Referral for psychological management of anxiety",1,1171,"8T23","","1037451000000103","2618361000000113","Referral for psychological management of anxiety","In previous & new",1,1,1
"130538010",14032,"E20z-1","E20z.11","111475002","1219652011","Nervous breakdown",1,13472,"E20z-1","E20z.11","111475002","1219652011","Nervous breakdown","In previous & new",1,1,1
"1626511000006116",587,"EMISNQGE26","","1626511000006100","1626511000006116","Generalised anxiety disorder (GAD-7) score",1,587,"EMISNQGE26","","1626511000006100","1626511000006116","Generalised anxiety disorder (GAD-7) score","In previous & new",1,1,1
"403931000006116",1106,"Eu054","Eu05400","17496003","29572018","Organic anxiety disorder",1,1028,"Eu054","Eu05400","17496003","29572018","Organic anxiety disorder","In previous & new",1,1,1
"1839741000006111",167400,"EMISNQGA11","","1839741000006107","1839741000006111","GAD-7 score - feeling nervous, anxious or on edge",1,146028,"EMISNQGA11","","1839741000006107","1839741000006111","GAD-7 score - feeling nervous, anxious or on edge","In previous & new",1,1,1
"1839801000006118",115145,"EMISNQGA17","","1839801000006102","1839801000006118","GAD-7 score - feeling afraid as if something awful might happen",1,97819,"EMISNQGA17","","1839801000006102","1839801000006118","GAD-7 score - feeling afraid as if something awful might happen","In previous & new",1,1,1
"1861181000006114",768,"EMISNQBR37","","1861181000006105","1861181000006114","Breathlessness causing anxiety",1,716,"EMISNQBR37","","1861181000006105","1861181000006114","Breathlessness causing anxiety","In previous & new",1,1,1
"294960010",393198,"E2004","E200400","191708009","294960010","Chronic anxiety",1,366562,"E2004","E200400","191708009","294960010","Chronic anxiety","In previous & new",1,1,1
"294961014",175650,"E2005","E200500","191709001","294961014","Recurrent anxiety",1,163956,"E2005","E200500","191709001","294961014","Recurrent anxiety","In previous & new",1,1,1
"294992011",141163,"E2021","E202100","191722009","294992011","Agoraphobia with panic attacks",1,134125,"E2021","E202100","191722009","294992011","Agoraphobia with panic attacks","In previous & new",1,1,1
"418051000006118",18717,"Eu400-2","Eu40012","191722009","294992011","[X]Panic disorder with agoraphobia",1,17825,"Eu400-2","Eu40012","191722009","294992011","[X]Panic disorder with agoraphobia","In previous & new",1,1,1
"295474019",5512,"E280","E280.00","192037000","295474019","Acute panic state due to acute stress reaction",1,5288,"E280","E280.00","192037000","295474019","Acute panic state due to acute stress reaction","In previous & new",1,1,1
"488201000006114",8353233,"E200","E200.00","197480006","303689015","Anxiety disorder",1,7765921,"E200","E200.00","197480006","303689015","Anxiety disorder","In previous & new",1,1,1
"296238018",38744,"Eu41","Eu41.00","197480006","303689015","[X]Other anxiety disorders",1,37433,"Eu41","Eu41.00","197480006","303689015","[X]Other anxiety disorders","In previous & new",1,1,1
"363671000006118",34897,"Eu411-2","Eu41112","197480006","303689015","[X]Anxiety reaction",1,33396,"Eu411-2","Eu41112","197480006","303689015","[X]Anxiety reaction","In previous & new",1,1,1
"401881014",1597,"Eu41y","Eu41y00","197480006","303689015","[X]Other specified anxiety disorders",1,1534,"Eu41y","Eu41y00","197480006","303689015","[X]Other specified anxiety disorders","In previous & new",1,1,1
"363641000006114",790,"Eu41y-1","Eu41y11","197480006","303689015","[X]Anxiety hysteria",1,742,"Eu41y-1","Eu41y11","197480006","303689015","[X]Anxiety hysteria","In previous & new",1,1,1
"296249012",107749,"Eu41z","Eu41z00","197480006","303689015","[X]Anxiety disorder, unspecified",1,104509,"Eu41z","Eu41z00","197480006","303689015","[X]Anxiety disorder, unspecified","In previous & new",1,1,1
"363661000006113",634787,"Eu41z-1","Eu41z11","197480006","303689015","[X]Anxiety NOS",1,605733,"Eu41z-1","Eu41z11","197480006","303689015","[X]Anxiety NOS","In previous & new",1,1,1
"294953016",195528,"E2000","E200000","198288003","304838011","Anxiety state unspecified",1,188685,"E2000","E200000","198288003","304838011","Anxiety state unspecified","In previous & new",1,1,1
"294963012",1929923,"E200z","E200z00","198288003","304838011","Anxiety state",1,1709067,"E200z","E200z00","198288003","304838011","Anxiety state","In previous & new",1,1,1
"363681000006115",89770,"Eu411-3","Eu41113","198288003","304838011","[X]Anxiety state",1,85009,"Eu411-3","Eu41113","198288003","304838011","[X]Anxiety state","In previous & new",1,1,1
"304838011",174640,"E200-99","E200.99","198288003","882361000006113","Anxiety state",1,168722,"E200-99","E200.99","198288003","882361000006113","Anxiety state","In previous & new",1,1,1
"300681000000118",6739,"8HHp","8HHp.00","199101000000102","300681000000118","Referral for guided self-help for anxiety",1,6041,"8HHp","8HHp.00","199101000000102","300681000000118","Referral for guided self-help for anxiety","In previous & new",1,1,1
"363651000006111",20890,"Eu411-1","Eu41111","207363009","317740010","Anxiety neurosis",1,19894,"Eu411-1","Eu41111","207363009","317740010","Anxiety neurosis","In previous & new",1,1,1
"2848291000006116",407,"^ESCTGE284829","","21897009","36731013","Generalized anxiety disorder",1,357,"^ESCTGE284829","","21897009","36731013","Generalized anxiety disorder","In previous & new",1,1,1
"481154010",654282,"E2002","E200200","21897009","481154010","Generalised anxiety disorder",1,597002,"E2002","E200200","21897009","481154010","Generalised anxiety disorder","In previous & new",1,1,1
"388071000006116",106583,"Eu411","Eu41100","21897009","481154010","[X]Generalized anxiety disorder",1,101847,"Eu411","Eu41100","21897009","481154010","[X]Generalized anxiety disorder","In previous & new",1,1,1
"2848301000006115",47,"^ESCTGA284830","","21897009","481155011","GAD - Generalized anxiety disorder",1,31,"^ESCTGA284830","","21897009","481155011","GAD - Generalized anxiety disorder","In previous & new",1,1,1
"2848311000006117",1480,"^ESCTGA284831","","21897009","481156012","GAD - Generalised anxiety disorder",1,1320,"^ESCTGA284831","","21897009","481156012","GAD - Generalised anxiety disorder","In previous & new",1,1,1
"339044013",1188269,"E2001-1","E200111","225624000","339044013","Panic attack",1,1117292,"E2001-1","E200111","225624000","339044013","Panic attack","In previous & new",1,1,1
"342665019",15001,"8G94","8G94.00","228560001","342665019","Anxiety management training",1,14273,"8G94","8G94.00","228560001","342665019","Anxiety management training","In previous & new",1,1,1
"296245018",2906,"Eu413","Eu41300","231504006","346979010","[X]Other mixed anxiety disorders",1,2775,"Eu413","Eu41300","231504006","346979010","[X]Other mixed anxiety disorders","In previous & new",1,1,1
"363691000006117",6934,"Eu606","Eu60600","231528008","347013012","Anxious personality disorder",1,6582,"Eu606","Eu60600","231528008","347013012","Anxious personality disorder","In previous & new",1,1,1
"2907991000006110",209,"^ESCTSO290799","","25501002","42761017","Social anxiety disorder",1,168,"^ESCTSO290799","","25501002","42761017","Social anxiety disorder","In previous & new",1,1,1
"5886481000006112",4544,"^ESCTAN588648","","300895004","442086017","Anxiety attack",1,3650,"^ESCTAN588648","","300895004","442086017","Anxiety attack","In previous & new",1,1,1
"6025521000006113",1968,"^ESCTAN602552","","313087008","456917011","Anxiety counselling",1,1700,"^ESCTAN602552","","313087008","456917011","Anxiety counselling","In previous & new",1,1,1
"1210253015",452969,"E2001","E200100","371631005","1210253015","Panic disorder",1,427020,"E2001","E200100","371631005","1210253015","Panic disorder","In previous & new",1,1,1
"296239014",35801,"Eu410","Eu41000","371631005","1210253015","[X]Panic disorder [episodic paroxysmal anxiety]",1,32906,"Eu410","Eu41000","371631005","1210253015","[X]Panic disorder [episodic paroxysmal anxiety]","In previous & new",1,1,1
"418031000006113",34463,"Eu410-1","Eu41011","371631005","1210253015","[X]Panic attack",1,32363,"Eu410-1","Eu41011","371631005","1210253015","[X]Panic attack","In previous & new",1,1,1
"418061000006116",7782,"Eu410-2","Eu41012","371631005","1210253015","[X]Panic state",1,7422,"Eu410-2","Eu41012","371631005","1210253015","[X]Panic state","In previous & new",1,1,1
"296237011",5097,"Eu40z","Eu40z00","386810004","1480929014","[X]Phobic anxiety disorder, unspecified",1,4959,"Eu40z","Eu40z00","386810004","1480929014","[X]Phobic anxiety disorder, unspecified","In previous & new",1,1,1
"223641000000116",63324,"E202-2","E202.12","386810004","1491809016","Phobic anxiety disorder",1,60755,"E202-2","E202.12","386810004","1491809016","Phobic anxiety disorder","In previous & new",1,1,1
"296224013",30369,"Eu40","Eu40.00","386810004","1491809016","[X]Phobic anxiety disorders",1,29299,"Eu40","Eu40.00","386810004","1491809016","[X]Phobic anxiety disorders","In previous & new",1,1,1
"296236019",761,"Eu40y","Eu40y00","386810004","1491809016","[X]Other phobic anxiety disorders",1,711,"Eu40y","Eu40y00","386810004","1491809016","[X]Other phobic anxiety disorders","In previous & new",1,1,1
"1780506015",513245,"388N","388N.00","401319005","1780506015","HAD scale: anxiety score",1,484633,"388N","388N.00","401319005","1780506015","HAD scale: anxiety score","In previous & new",1,1,1
"317958013",16131,"R2y2","R2y2.00","424196004","2643154017","[D]Nervousness",1,15579,"R2y2","R2y2.00","424196004","2643154017","[D]Nervousness","In previous & new",1,1,1
"7308431000006110",4408,"^ESCTGE730843","","445455005","2872230018","Generalized anxiety disorder 7 item score",1,3282,"^ESCTGE730843","","445455005","2872230018","Generalized anxiety disorder 7 item score","In previous & new",1,1,1
"14673781000006116",333894,"^ESCT1467378","","445455005","4596987015","Generalized Anxiety Disorder 7 item score",1,173192,"^ESCT1467378","","445455005","4596987015","Generalized Anxiety Disorder 7 item score","In previous & new",1,1,1
"3265831000006118",55,"^ESCTAD326583","","47372000","3013688013","Adjustment disorder with anxiety",1,52,"^ESCTAD326583","","47372000","3013688013","Adjustment disorder with anxiety","In previous & new",1,1,1
"3265811000006112",455,"^ESCTAD326581","","47372000","78975018","Adjustment disorder with anxious mood",1,326,"^ESCTAD326581","","47372000","78975018","Adjustment disorder with anxious mood","In previous & new",1,1,1
"2536376012",885397,"1B13","1B13.00","48694002","2536376012","Anxiousness",1,843185,"1B13","1B13.00","48694002","2536376012","Anxiousness","In previous & new",1,1,1
"488251000006113",694202,"1B13-1","1B13.11","48694002","2536376012","Anxiousness - symptom",1,673968,"1B13-1","1B13.11","48694002","2536376012","Anxiousness - symptom","In previous & new",1,1,1
"516601000000113",73652,"1B13-2","1B13.12","48694002","516601000000113","Anxious",1,70836,"1B13-2","1B13.12","48694002","516601000000113","Anxious","In previous & new",1,1,1
"3287741000006111",418886,"^ESCTAN328774","","48694002","81133019","Anxiety",1,316620,"^ESCTAN328774","","48694002","81133019","Anxiety","In previous & new",1,1,1
"2287071000000115",549,"173f","173f.00","702535006","3004280013","Anxiety about breathlessness",1,477,"173f","173f.00","702535006","3004280013","Anxiety about breathlessness","In previous & new",1,1,1
"7591941000006119",445,"^ESCTGA759194","","704501007","2463841000000111","GAD-7 - Generalised Anxiety Disorder 7",1,434,"^ESCTGA759194","","704501007","2463841000000111","GAD-7 - Generalised Anxiety Disorder 7","In previous & new",1,1,1
"3654681000006114",111,"^ESCTMI365468","","70997004","117924019","Mild anxiety",1,92,"^ESCTMI365468","","70997004","117924019","Mild anxiety","In previous & new",1,1,1
"7663271000006111",1157,"^ESCTMA766327","","710060004","3043186017","Management of anxiety",1,446,"^ESCTMA766327","","710060004","3043186017","Management of anxiety","In previous & new",1,1,1
"2404011000000118",11042,"8IH8","8IH8.00","715508000","3302874013","GAD-7 (Generalized Anxiety Disorder 7) scale declined",1,9673,"8IH8","8IH8.00","715508000","3302874013","GAD-7 (Generalized Anxiety Disorder 7) scale declined","In previous & new",1,1,1
"7733361000006112",279,"^ESCTGA773336","","715508000","3302875014","GAD-7 (Generalised Anxiety Disorder 7) scale declined",1,259,"^ESCTGA773336","","715508000","3302875014","GAD-7 (Generalised Anxiety Disorder 7) scale declined","In previous & new",1,1,1
"3810661000006112",130,"^ESCTSE381066","","80583007","133696019","Severe anxiety (panic)",1,73,"^ESCTSE381066","","80583007","133696019","Severe anxiety (panic)","In previous & new",1,1,1
"8278471000006118",2640,"^ESCTGA827847","","836551000000102","2172181000000112","GAD-2 (generalised anxiety disorder 2) scale",1,2306,"^ESCTGA827847","","836551000000102","2172181000000112","GAD-2 (generalised anxiety disorder 2) scale","In previous & new",1,1,1
"8278491000006117",2354,"^ESCTAS827849","","836561000000104","2172191000000114","Assessment using GAD-2 (generalised anxiety disorder 2) scale",1,1863,"^ESCTAS827849","","836561000000104","2172191000000114","Assessment using GAD-2 (generalised anxiety disorder 2) scale","In previous & new",1,1,1
