code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
10692761000119107,,SNOMED  CT codes,C734,2607,Asthma - Primary care,PH12,24,Asthma,"[{""Description"": ""Asthma-chronic obstructive pulmonary disease overlap syndrome"", ""Quality and Outcomes Framework Read Codes 2017/18"": ""Y"", ""Validated Non-Specific Asthma Read Codes Nissen et al. 2017"": """", ""Validated Specific Asthma Read Codes Nissen et al. 2017"": """", ""Read v2 Code"": ""H3B..00""}]"
1086701000000102,,SNOMED  CT codes,C734,2607,Asthma - Primary care,PH12,24,Asthma,"[{""Description"": ""Extrinsic asthma with status asthmaticus"", ""Quality and Outcomes Framework Read Codes 2017/18"": ""Y"", ""Validated Non-Specific Asthma Read Codes Nissen et al. 2017"": """", ""Validated Specific Asthma Read Codes Nissen et al. 2017"": ""Y"", ""Read v2 Code"": ""H330100""}]"
1086711000000100,,SNOMED  CT codes,C734,2607,Asthma - Primary care,PH12,24,Asthma,"[{""Description"": ""Intrinsic asthma with status asthmaticus"", ""Quality and Outcomes Framework Read Codes 2017/18"": ""Y"", ""Validated Non-Specific Asthma Read Codes Nissen et al. 2017"": """", ""Validated Specific Asthma Read Codes Nissen et al. 2017"": ""Y"", ""Read v2 Code"": ""H331100""}]"
12428000,,SNOMED  CT codes,C734,2607,Asthma - Primary care,PH12,24,Asthma,"[{""Description"": ""Intrinsic asthma without status asthmaticus"", ""Quality and Outcomes Framework Read Codes 2017/18"": ""Y"", ""Validated Non-Specific Asthma Read Codes Nissen et al. 2017"": """", ""Validated Specific Asthma Read Codes Nissen et al. 2017"": ""Y"", ""Read v2 Code"": ""H331000""}]"
161105008,,SNOMED  CT codes,C734,2607,Asthma - Primary care,PH12,24,Asthma,"[{""Description"": ""Asthma society member"", ""Quality and Outcomes Framework Read Codes 2017/18"": """", ""Validated Non-Specific Asthma Read Codes Nissen et al. 2017"": ""Y"", ""Validated Specific Asthma Read Codes Nissen et al. 2017"": """", ""Read v2 Code"": ""13Y4.00""}]"
161527007,,SNOMED  CT codes,C734,2607,Asthma - Primary care,PH12,24,Asthma,"[{""Description"": ""H/O: asthma"", ""Quality and Outcomes Framework Read Codes 2017/18"": """", ""Validated Non-Specific Asthma Read Codes Nissen et al. 2017"": ""Y"", ""Validated Specific Asthma Read Codes Nissen et al. 2017"": """", ""Read v2 Code"": ""14B4.00""}]"
170627008,,SNOMED  CT codes,C734,2607,Asthma - Primary care,PH12,24,Asthma,"[{""Description"": ""Airways obstruction reversible"", ""Quality and Outcomes Framework Read Codes 2017/18"": """", ""Validated Non-Specific Asthma Read Codes Nissen et al. 2017"": """", ""Validated Specific Asthma Read Codes Nissen et al. 2017"": """", ""Read v2 Code"": ""663J.00""}]"
170631002,,SNOMED  CT codes,C734,2607,Asthma - Primary care,PH12,24,Asthma,"[{""Description"": ""Asthma disturbing sleep"", ""Quality and Outcomes Framework Read Codes 2017/18"": """", ""Validated Non-Specific Asthma Read Codes Nissen et al. 2017"": """", ""Validated Specific Asthma Read Codes Nissen et al. 2017"": ""Y"", ""Read v2 Code"": ""663N.00""}]"
170632009,,SNOMED  CT codes,C734,2607,Asthma - Primary care,PH12,24,Asthma,"[{""Description"": ""Asthma causing night waking"", ""Quality and Outcomes Framework Read Codes 2017/18"": """", ""Validated Non-Specific Asthma Read Codes Nissen et al. 2017"": """", ""Validated Specific Asthma Read Codes Nissen et al. 2017"": ""Y"", ""Read v2 Code"": ""663N000""}]"
170633004,,SNOMED  CT codes,C734,2607,Asthma - Primary care,PH12,24,Asthma,"[{""Description"": ""Asthma disturbs sleep weekly"", ""Quality and Outcomes Framework Read Codes 2017/18"": """", ""Validated Non-Specific Asthma Read Codes Nissen et al. 2017"": """", ""Validated Specific Asthma Read Codes Nissen et al. 2017"": ""Y"", ""Read v2 Code"": ""663N100""}]"
