code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
1.04851E+14,Postpartum major depression in remission (disorder),SNOMED  CT codes,C4196,11556,Depression,PH1720,3647,CCU046 Depression,
1086471000000103,"Recurrent reactive depressive episodes, severe, with psychosis (disorder)",SNOMED  CT codes,C4196,11556,Depression,PH1720,3647,CCU046 Depression,
1086661000000108,"Reactive depression, prolonged single episode (disorder)",SNOMED  CT codes,C4196,11556,Depression,PH1720,3647,CCU046 Depression,
1089511000000100,Recurrent depression with current severe episode and psychotic features (disorder),SNOMED  CT codes,C4196,11556,Depression,PH1720,3647,CCU046 Depression,
1089631000000109,Recurrent depression with current severe episode without psychotic features (disorder),SNOMED  CT codes,C4196,11556,Depression,PH1720,3647,CCU046 Depression,
1089641000000100,Recurrent depression with current moderate episode (disorder),SNOMED  CT codes,C4196,11556,Depression,PH1720,3647,CCU046 Depression,
14183003,"Chronic major depressive disorder, single episode (disorder)",SNOMED  CT codes,C4196,11556,Depression,PH1720,3647,CCU046 Depression,
15639000,"Moderate major depression, single episode (disorder)",SNOMED  CT codes,C4196,11556,Depression,PH1720,3647,CCU046 Depression,
16238181000119101,Depressive disorder caused by amphetamine (disorder),SNOMED  CT codes,C4196,11556,Depression,PH1720,3647,CCU046 Depression,
16238221000119109,Depressive disorder caused by methamphetamine (disorder),SNOMED  CT codes,C4196,11556,Depression,PH1720,3647,CCU046 Depression,
16264621000119109,Recurrent mild major depressive disorder co-occurrent with anxiety (disorder),SNOMED  CT codes,C4196,11556,Depression,PH1720,3647,CCU046 Depression,
16264821000119108,Recurrent severe major depressive disorder co-occurrent with anxiety (disorder),SNOMED  CT codes,C4196,11556,Depression,PH1720,3647,CCU046 Depression,
16264901000119109,Recurrent moderate major depressive disorder co-occurrent with anxiety (disorder),SNOMED  CT codes,C4196,11556,Depression,PH1720,3647,CCU046 Depression,
16265061000119105,Recurrent major depressive disorder co-occurrent with anxiety in full remission (disorder),SNOMED  CT codes,C4196,11556,Depression,PH1720,3647,CCU046 Depression,
16265301000119106,Recurrent major depressive disorder in partial remission co-occurrent with anxiety (disorder),SNOMED  CT codes,C4196,11556,Depression,PH1720,3647,CCU046 Depression,
16265951000119109,Mild major depressive disorder co-occurrent with anxiety single episode (disorder),SNOMED  CT codes,C4196,11556,Depression,PH1720,3647,CCU046 Depression,
16266831000119100,Moderate major depressive disorder co-occurrent with anxiety single episode (disorder),SNOMED  CT codes,C4196,11556,Depression,PH1720,3647,CCU046 Depression,
16266991000119108,Severe major depressive disorder co-occurrent with anxiety single episode (disorder),SNOMED  CT codes,C4196,11556,Depression,PH1720,3647,CCU046 Depression,
18818009,Moderate recurrent major depression (disorder),SNOMED  CT codes,C4196,11556,Depression,PH1720,3647,CCU046 Depression,
191455000,Presenile dementia with depression (disorder),SNOMED  CT codes,C4196,11556,Depression,PH1720,3647,CCU046 Depression,
191459006,Senile dementia with depression (disorder),SNOMED  CT codes,C4196,11556,Depression,PH1720,3647,CCU046 Depression,
191466007,Arteriosclerotic dementia with depression,SNOMED  CT codes,C4196,11556,Depression,PH1720,3647,CCU046 Depression,
191601008,"Single major depressive episode, mild (disorder)",SNOMED  CT codes,C4196,11556,Depression,PH1720,3647,CCU046 Depression,
191602001,"Single major depressive episode, moderate (disorder)",SNOMED  CT codes,C4196,11556,Depression,PH1720,3647,CCU046 Depression,
191604000,"Single major depressive episode, severe, with psychosis (disorder)",SNOMED  CT codes,C4196,11556,Depression,PH1720,3647,CCU046 Depression,
191606003,"Single major depressive episode, in full remission (disorder)",SNOMED  CT codes,C4196,11556,Depression,PH1720,3647,CCU046 Depression,
