medcodeid,observations,originalreadcode,cleansedreadcode,snomedctconceptid,snomedctdescriptionid,term,depression,observations_2024_06,originalreadcode_2024_06,cleansedreadcode_2024_06,snomedctconceptid_2024_06,snomedctdescriptionid_2024_06,term_2024_06,depression_2024_06,JKQ_2024_06
"8459471000006114",250,"^ESCTDE845947","","1083051000000106","2714031000000119","Depression monitoring invitation email",1,146,"^ESCTDE845947","","1083051000000106","2714031000000119","Depression monitoring invitation email",1,1
"8459491000006110",12401,"^ESCTDE845949","","1083071000000102","2714071000000117","Depression monitoring invitation SMS (short message service) text message",1,7966,"^ESCTDE845949","","1083071000000102","2714071000000117","Depression monitoring invitation SMS (short message service) text message",1,1
"376751000006117",2347,"Eu341-2","Eu34112","1084061000000106","2716551000000112","Depressive personality disorder",1,2261,"Eu341-2","Eu34112","1084061000000106","2716551000000112","Depressive personality disorder",1,1
"424681000006118",947,"Eu333-6","Eu33316","1086471000000103","2721771000000114","Recurrent reactive depressive episodes, severe, with psychosis",1,857,"Eu333-6","Eu33316","1086471000000103","2721771000000114","Recurrent reactive depressive episodes, severe, with psychosis",1,1
"8465321000006112",183,"^ESCTRE846532","","1086661000000108","2722161000000114","Reactive depression, prolonged single episode",1,129,"^ESCTRE846532","","1086661000000108","2722161000000114","Reactive depression, prolonged single episode",1,1
"8465361000006118",1,"^ESCTRE846536","","1086691000000102","2722211000000116","Reactive depression, first episode",1,1,"^ESCTRE846536","","1086691000000102","2722211000000116","Reactive depression, first episode",1,1
"2729751000000118",435,"^ESCT1171772","","1089511000000100","2729751000000118","Recurrent depression with current severe episode and psychotic features",1,295,"^ESCT1171772","","1089511000000100","2729751000000118","Recurrent depression with current severe episode and psychotic features",1,1
"2729991000000112",312,"^ESCT1171782","","1089631000000109","2729991000000112","Recurrent depression with current severe episode without psychotic features",1,233,"^ESCT1171782","","1089631000000109","2729991000000112","Recurrent depression with current severe episode without psychotic features",1,1
"2730011000000110",461,"^ESCT1171783","","1089641000000100","2730011000000110","Recurrent depression with current moderate episode",1,324,"^ESCT1171783","","1089641000000100","2730011000000110","Recurrent depression with current moderate episode",1,1
"12626331000006116",14277,"^ESCT1262633","","1110911000000106","2779801000000114","QOF (Quality and Outcomes Framework) depression quality indicator-related care invitation",1,10328,"^ESCT1262633","","1110911000000106","2779801000000114","QOF (Quality and Outcomes Framework) depression quality indicator-related care invitation",1,1
"8035341000006119",1012,"^ESCTPO803534","","112001000119100","3320737018","Positive screening for depression on PHQ-9 (Patient Health Questionnaire 9)",1,858,"^ESCTPO803534","","112001000119100","3320737018","Positive screening for depression on PHQ-9 (Patient Health Questionnaire 9)",1,1
"14452211000006113",327,"^ESCT1445221","","1153570009","4565097010","Treatment resistant depression",1,175,"^ESCT1445221","","1153570009","4565097010","Treatment resistant depression",1,1
"14452261000006111",68,"^ESCT1445226","","1153575004","4565125014","Persistent depressive disorder",1,28,"^ESCT1445226","","1153575004","4565125014","Persistent depressive disorder",1,1
"367101000006112",802959,"Eu31","Eu31.00","13746004","2839307017","Bipolar affective disorder",1,765530,"Eu31","Eu31.00","13746004","2839307017","Bipolar affective disorder",1,1
"12734331000006115",329,"^ESCT1273433","","143391000000100","1628251000000113","QOF (Quality and Outcomes Framework) depression quality indicator-related care invitation using preferred method of communication",1,168,"^ESCT1273433","","143391000000100","1628251000000113","QOF (Quality and Outcomes Framework) depression quality indicator-related care invitation using preferred method of communication",1,1
"294826016",63595,"E1122","E112200","15639000","26507014","Moderate major depression, single episode",1,60327,"E1122","E112200","15639000","26507014","Moderate major depression, single episode",1,1
"12127531000006113",325,"^ESCT1212753","","16264621000119109","3646259011","Recurrent mild major depressive disorder co-occurrent with anxiety",1,263,"^ESCT1212753","","16264621000119109","3646259011","Recurrent mild major depressive disorder co-occurrent with anxiety",1,1
"12127541000006115",221,"^ESCT1212754","","16264821000119108","3646266012","Recurrent severe major depressive disorder co-occurrent with anxiety",1,162,"^ESCT1212754","","16264821000119108","3646266012","Recurrent severe major depressive disorder co-occurrent with anxiety",1,1
"12127551000006118",463,"^ESCT1212755","","16264901000119109","3646265011","Recurrent moderate major depressive disorder co-occurrent with anxiety",1,354,"^ESCT1212755","","16264901000119109","3646265011","Recurrent moderate major depressive disorder co-occurrent with anxiety",1,1
"9901161000006119",87,"^ESCTMI990116","","16265951000119109","3447118014","Mild major depressive disorder co-occurrent with anxiety single episode",1,86,"^ESCTMI990116","","16265951000119109","3447118014","Mild major depressive disorder co-occurrent with anxiety single episode",1,1
"226411000000110",5561,"9k4","9k4..00","166291000000108","1154541000000116","Depression enhanced services administration",1,5498,"9k4","9k4..00","166291000000108","1154541000000116","Depression enhanced services administration",1,1
"226581000000119",5559,"9k40","9k40.00","166481000000107","1154701000000110","Depression enhanced service completed",1,5410,"9k40","9k40.00","166481000000107","1154701000000110","Depression enhanced service completed",1,1
"1823881000006110",244,"EMISNQDE36","","1823881000006106","1823881000006110","Depression confirmed",1,234,"EMISNQDE36","","1823881000006106","1823881000006110","Depression confirmed",1,1
"1839551000006116",33188,"EMISNQPH33","","1839551000006100","1839551000006116","PHQ9 total score 5-9 (mild depression)",1,27200,"EMISNQPH33","","1839551000006100","1839551000006116","PHQ9 total score 5-9 (mild depression)",1,1
"1839561000006119",45793,"EMISNQPH34","","1839561000006103","1839561000006119","PHQ9 total score 10-14 (moderate depression)",1,37425,"EMISNQPH34","","1839561000006103","1839561000006119","PHQ9 total score 10-14 (moderate depression)",1,1
"1839571000006114",46575,"EMISNQPH35","","1839571000006105","1839571000006114","PHQ9 total score 15-19 (moderately severe depression)",1,38454,"EMISNQPH35","","1839571000006105","1839571000006114","PHQ9 total score 15-19 (moderately severe depression)",1,1
"1839581000006112",44916,"EMISNQPH36","","1839581000006108","1839581000006112","PHQ9 total score 20-27 (severe depression)",1,36521,"EMISNQPH36","","1839581000006108","1839581000006112","PHQ9 total score 20-27 (severe depression)",1,1
"2798691000006112",152,"^ESCTMO279869","","18818009","31734016","Moderate recurrent major depression",1,117,"^ESCTMO279869","","18818009","31734016","Moderate recurrent major depression",1,1
"294828015",19556,"E1124","E112400","191604000","294828015","Single major depressive episode, severe, with psychosis",1,17423,"E1124","E112400","191604000","294828015","Single major depressive episode, severe, with psychosis",1,1
"401869010",68948,"Eu323","Eu32300","191604000","294828015","[X]Severe depressive episode with psychotic symptoms",1,65617,"Eu323","Eu32300","191604000","294828015","[X]Severe depressive episode with psychotic symptoms",1,1
