code,coding_system,description,entity,list_name,upload_date
1BH..00,Read,Delusions,diagnostic,929 - res178: Psychosis,2021-03-14
1BH0.00,Read,Delusion of persecution,diagnostic,929 - res178: Psychosis,2021-03-14
1BH1.00,Read,Grandiose delusions,diagnostic,929 - res178: Psychosis,2021-03-14
1BH..11,Read,Delusion,diagnostic,929 - res178: Psychosis,2021-03-14
1BH2.00,Read,Ideas of reference,diagnostic,929 - res178: Psychosis,2021-03-14
1BH3.00,Read,Paranoid ideation,diagnostic,929 - res178: Psychosis,2021-03-14
E001100,Read,Presenile dementia with delirium,diagnostic,929 - res178: Psychosis,2021-03-14
E001200,Read,Presenile dementia with paranoia,diagnostic,929 - res178: Psychosis,2021-03-14
E002000,Read,Senile dementia with paranoia,diagnostic,929 - res178: Psychosis,2021-03-14
E002z00,Read,Senile dementia with depressive or paranoid features NOS,diagnostic,929 - res178: Psychosis,2021-03-14
E003.00,Read,Senile dementia with delirium,diagnostic,929 - res178: Psychosis,2021-03-14
E004100,Read,Arteriosclerotic dementia with delirium,diagnostic,929 - res178: Psychosis,2021-03-14
E004200,Read,Arteriosclerotic dementia with paranoia,diagnostic,929 - res178: Psychosis,2021-03-14
E00y.00,Read,Other senile and presenile organic psychoses,diagnostic,929 - res178: Psychosis,2021-03-14
E00y.11,Read,Presbyophrenic psychosis,diagnostic,929 - res178: Psychosis,2021-03-14
E00z.00,Read,Senile or presenile psychoses NOS,diagnostic,929 - res178: Psychosis,2021-03-14
E010.00,Read,Alcohol withdrawal delirium,diagnostic,929 - res178: Psychosis,2021-03-14
E010.11,Read,DTs - delirium tremens,diagnostic,929 - res178: Psychosis,2021-03-14
E010.12,Read,Delirium tremens,diagnostic,929 - res178: Psychosis,2021-03-14
E011000,Read,Korsakov's alcoholic psychosis,diagnostic,929 - res178: Psychosis,2021-03-14
E013.00,Read,Alcohol withdrawal hallucinosis,diagnostic,929 - res178: Psychosis,2021-03-14
E015.00,Read,Alcoholic paranoia,diagnostic,929 - res178: Psychosis,2021-03-14
E01yz00,Read,Other alcoholic psychosis NOS,diagnostic,929 - res178: Psychosis,2021-03-14
E01z.00,Read,Alcoholic psychosis NOS,diagnostic,929 - res178: Psychosis,2021-03-14
E021.00,Read,Drug-induced paranoia or hallucinatory states,diagnostic,929 - res178: Psychosis,2021-03-14
E021000,Read,Drug-induced paranoid state,diagnostic,929 - res178: Psychosis,2021-03-14
E021100,Read,Drug-induced hallucinosis,diagnostic,929 - res178: Psychosis,2021-03-14
E021z00,Read,Drug-induced paranoia or hallucinatory state NOS,diagnostic,929 - res178: Psychosis,2021-03-14
E02y000,Read,Drug-induced delirium,diagnostic,929 - res178: Psychosis,2021-03-14
E02yz00,Read,Other drug psychoses NOS,diagnostic,929 - res178: Psychosis,2021-03-14
E02z.00,Read,Drug psychosis NOS,diagnostic,929 - res178: Psychosis,2021-03-14
E03..00,Read,Transient organic psychoses,diagnostic,929 - res178: Psychosis,2021-03-14
E030.00,Read,Acute confusional state,diagnostic,929 - res178: Psychosis,2021-03-14
E030000,Read,Acute confusional state; post traumatic,diagnostic,929 - res178: Psychosis,2021-03-14
E030100,Read,Acute confusional state; of infective origin,diagnostic,929 - res178: Psychosis,2021-03-14
E030.11,Read,Delirium - acute organic,diagnostic,929 - res178: Psychosis,2021-03-14
E030.12,Read,Toxic confusional state,diagnostic,929 - res178: Psychosis,2021-03-14
E030200,Read,Acute confusional state; of endocrine origin,diagnostic,929 - res178: Psychosis,2021-03-14
E030300,Read,Acute confusional state; of metabolic origin,diagnostic,929 - res178: Psychosis,2021-03-14
E030400,Read,Acute confusional state; of cerebrovascular origin,diagnostic,929 - res178: Psychosis,2021-03-14
E030z00,Read,Acute confusional state NOS,diagnostic,929 - res178: Psychosis,2021-03-14
E031.00,Read,Subacute confusional state,diagnostic,929 - res178: Psychosis,2021-03-14
E031000,Read,Subacute confusional state; post traumatic,diagnostic,929 - res178: Psychosis,2021-03-14
