code,coding_system,description,entity,list_name,upload_date
12123,CPRD_product_code,Fluvoxamine maleate,drug,942 - res178: SSRIs and SNRIs,2021-03-14
1222,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
13151,CPRD_product_code,Duloxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
13237,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
1397,CPRD_product_code,Paroxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
1474,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
14740,CPRD_product_code,Fluoxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
14803,CPRD_product_code,Duloxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
14849,CPRD_product_code,Duloxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
1575,CPRD_product_code,Paroxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
1612,CPRD_product_code,Sertraline hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
16969,CPRD_product_code,Duloxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
1712,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
19183,CPRD_product_code,Fluoxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
19470,CPRD_product_code,Fluoxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
20152,CPRD_product_code,Escitalopram oxalate,drug,942 - res178: SSRIs and SNRIs,2021-03-14
22,CPRD_product_code,Fluoxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
2290,CPRD_product_code,Fluvoxamine maleate,drug,942 - res178: SSRIs and SNRIs,2021-03-14
2408,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
252,CPRD_product_code,Fluoxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
2548,CPRD_product_code,Fluoxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
26016,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
26056,CPRD_product_code,Escitalopram oxalate,drug,942 - res178: SSRIs and SNRIs,2021-03-14
2617,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
2654,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
2880,CPRD_product_code,Fluvoxamine maleate,drug,942 - res178: SSRIs and SNRIs,2021-03-14
2897,CPRD_product_code,Fluvoxamine maleate,drug,942 - res178: SSRIs and SNRIs,2021-03-14
29756,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
29786,CPRD_product_code,Fluoxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
301,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
30258,CPRD_product_code,Fluoxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
32401,CPRD_product_code,Sertraline hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
32546,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
32848,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
32899,CPRD_product_code,Paroxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
33071,CPRD_product_code,Fluoxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
33410,CPRD_product_code,Fluoxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
33720,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
33779,CPRD_product_code,Fluoxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
3391,CPRD_product_code,Nefazodone hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
33978,CPRD_product_code,Paroxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
34202,CPRD_product_code,Fluoxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
34216,CPRD_product_code,Fluoxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
34288,CPRD_product_code,Fluoxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
34294,CPRD_product_code,Fluoxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
34351,CPRD_product_code,Paroxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
34356,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
34413,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
34415,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
34419,CPRD_product_code,Paroxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
34436,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
34456,CPRD_product_code,Fluoxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
34466,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
34498,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
34499,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
34586,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
34587,CPRD_product_code,Paroxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
34603,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
34722,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
34822,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
34849,CPRD_product_code,Fluoxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
34856,CPRD_product_code,Fluoxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
34871,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
34966,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
34970,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
35021,CPRD_product_code,Paroxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
35112,CPRD_product_code,Paroxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
3601,CPRD_product_code,Paroxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
36746,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
36893,CPRD_product_code,Fluoxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
37256,CPRD_product_code,Fluoxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
3861,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
38890,CPRD_product_code,Fluoxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
39359,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
39360,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
39770,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
