Prodcode,Product Name,Company,Label
'13979741000033114,"COVID-19 Vaccine AZD2816 AstraZeneca (ChAdOx1 nCOV-19) 3.5x10,000,000,000 viral particles/0.5ml dose solution for injection multidose vials",AstraZeneca AB,AstraZeneca
'13960541000033115,COVID-19 Vaccine Covaxin (NIV2020-770 inactivated) 6micrograms/0.5ml dose suspension for injection multidose vials,Bharat Biotech International Ltd,
'13960641000033119,COVID-19 Vaccine Covaxin (NIV2020-770 inactivated) 6micrograms/0.5ml dose suspension for injection vials,Bharat Biotech International Ltd,
'13959941000033110,"COVID-19 Vaccine Covishield (ChAdOx1 S [recombinant]) 5x10,000,000,000 viral particles/0.5ml dose solution for injection multidose vials",Serum Institute of India,
'13960041000033113,"COVID-19 Vaccine Covishield (ChAdOx1 S [recombinant]) 5x10,000,000,000 viral particles/0.5ml dose solution for injection vials",Serum Institute of India,
'13750541000033115,COVID-19 Vaccine Janssen (Ad26.COV2-S [recombinant]) 0.5ml dose suspension for injection multidose vials,Janssen-Cilag Ltd,
'13860541000033111,COVID-19 Vaccine Medicago (CoVLP) 3.75micrograms/0.5ml dose emulsion for injection multidose vials,Medicago Inc,
'13790341000033117,"COVID-19 Vaccine Novavax (recombinant, adjuvanted) 5micrograms/0.5ml dose dispersion for injection multidose vials",Baxter Oncology GmbH,
'13958441000033110,COVID-19 Vaccine Sinopharm BIBP (inactivated adjuvanted) 6.5U/0.5ml dose suspension for injection prefilled syringes,Beijing Institute of Biological Products,
'13958541000033111,COVID-19 Vaccine Sinopharm BIBP (inactivated adjuvanted) 6.5U/0.5ml dose suspension for injection vials,Beijing Institute of Biological Products,
'13960141000033112,"COVID-19 Vaccine Sputnik V Component I (recombinant serotype 26 adenoviral particles) 100,000,000,000 viral particles/0.5ml dose solution for injection multidose vials",Gamaleya NRCEM,
'13778941000033110,COVID-19 Vaccine Valneva (inactivated adjuvanted whole virus) 40antigen units/0.5ml dose suspension for injection multidose vials,Valneva UK Ltd,
'13739441000033113,"COVID-19 Vaccine Vaxzevria (ChAdOx1 S [recombinant]) 5x10,000,000,000 viral particles/0.5ml dose suspension for injection multidose vials",AstraZeneca UK Ltd,AstraZeneca
'13739541000033114,Comirnaty COVID-19 mRNA Vaccine 30micrograms/0.3ml dose concentrate for dispersion for injection multidose vials,Pfizer Ltd,Pfizer/BioNTech
'13959841000033119,Comirnaty Children 5-11 years COVID-19 mRNA Vaccine 10micrograms/0.2ml dose concentrate for dispersion for injection multidose vials,Pfizer Ltd,Pfizer/BioNTech
'13957341000033115,CoronaVac COVID-19 Vaccine (adjuvanted) 600U/0.5ml dose suspension for injection vials,Sinovac Life Sciences,
'13764941000033111,Spikevax COVID-19 mRNA (nucleoside modified) Vaccine 0.1mg/0.5ml dose dispersion for injection multidose vials,"Moderna, Inc",Moderna
